title,artist,total_popularity_weight,spotify_id
紅色高跟鞋,Tanya Chua,78988,5DSF1VTSaaAFIesJLlltuM
Dans l'univers,"Nekfeu, Vanessa Paradis",78985,2PYXOG6GdxF9sUIH2NfOAD
幸福之歌,Supper Moment,78901,25atREPmk8jKg0WlI28bsV
Udd Gaye - Bacardi House Party Sessions,Ritviz,78894,6wZJsut8fjiWiMPaccRAOX
Sterrenstof,De Jeugd Van Tegenwoordig,78834,4PW9WvbhNlrFoThvc7zheh
Oui ou non,Angèle,78830,7rBP4bLjMLNkix1nGHjheP
אל תעזבי ידיים,Akiva,78808,0x9UM4GuxnMJUjyuipowmo
Rolex,"Capital Bra, Summer Cem, KC Rebell",78787,38lQ7lYhN3eSWepnZHaiBF
Mi Regalo Mas Bonito,La Ross Maria,78779,5hruhe0RaAqQNFozs8KTz9
Klakar,"Herra Hnetusmjör, Huginn",78774,2br4r2DA0sZzFYzmkyKyOo
ใจเดียว,Whal & Dolph,78748,4ZqPfiHvNNHqMNNt8FGEP8
Shy Away,Twenty One Pilots,78669,2nG54Y4a3sH9YpfxMolOyi
VitamineDZ,ElGrandeToto,78643,63d0RBPXMuAaQsesaednTa
Fallin’ (Adrenaline),Why Don't We,78630,5GhJIMWAw0uMLgkdbt6uMz
Easy - Remix,"Jhay Cortez, Ozuna",78610,1NmQc6rwLv7g0UHL1AFOa9
Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",78607,0mJTAdmY8olbGQjopDYff3
Gác Lại Âu Lo,"Da LAB, Miu Lê",78606,1mKDbug8bbfDmLe7I4CJpe
N. J Respect R,Damso,78550,539zyjwDE87Cjp1mzRN8H7
Mindenki táncol /90'/,Majka,78490,4CNCUed2qq47dwKlvkBNRI
Cheirosa - Ao Vivo,Jorge & Mateus,78485,2PWjKmjyTZeDpmOUa3a5da
Lost Without You,Freya Ridings,78471,2KltOs2pLibQGTbQuBpbSw
มีผลต่อหัวใจ,Non Tanon,78470,166ZalajmAfOUqDg9EeXJ7
不可幸力,Vaundy,78457,18nkY3pJTub8WwEGiQAGh4
Si Te Pudiera Mentir,Calibre 50,78455,3p6eieHX6oEOzJStPtEsLu
Ouly,Ahmed Kamel,78345,1GMfL5Bu97xGltZ2lKc5u9
Maldita Foto,"TINI, Manuel Turizo",78322,4WkEH0PgystZUaN6QU6Z0B
CRUDELIA - I nervi,Marracash,78311,0xEgDBXYO9gGzmxCFWKxNg
Amor Platonico,Los Verduleros,78306,0wmfp22zXcwL9Ll6MJNr8U
Mehrama,"Pritam, Darshan Raval, Antara Mitra",78236,6cUOiOY5qh2FpIQWIYAd2h
Elevate,Drake,78235,3szf2z1Cy1QMrtHrbn8rz9
Namo Namo,Amit Trivedi,78218,6DwBCjospi1c9WsRVfoCwN
Bu Gece,Ceg,78192,5OAeKU1aR1UqVaqc597QKL
Demet Akalın,Ben Fero,78178,3kyGlb9iNqhKJsS2WVNyzH
Pa Dentro,Juanes,78144,7flNdUykV5LYDRv8wQDbsx
La Escuela No Me Gustó,"Adriel Favela, Javier Rosas",78135,4qArKIA7dnmdushoBlkV94
Sakit,"Zynakal, YonnyBoii",78102,2rAJy2WSlQOINaWi0kydkr
Loin de moi,Naza,78095,2wQt5updiOTtTLe25QlW5O
Can't Take My Eyes Off You,Joseph Vincent,78089,5O0vv59rTNu0zJ2s9xI2GW
Juramento eterno de sal,Álvaro De Luna,78072,0tu5F0rmLZYIdUMEvfRXAo
Tholami,شيمي,78071,0nzTbIlYLklyyVKk58ryYc
隔離 - Studio Live Duet,"Jace Chan, Terence Lam",78061,7Fr7Ag2bQyJl86BtsFmdOW
No Se Da Cuenta,"Ozuna, Daddy Yankee",77962,0wkr4KqObqC55h4U9wqwKn
Árabe,"Papichamp, Ecko",77899,5BK0JtsfFSDapZYcg9RUxg
Seni Kendime Sakladım,Duman,77885,4TjX6QIQVSD3j2VAxlR2wa
Beach House,The Chainsmokers,77883,2bQhVQbV7VBzSOPo8mbkUR
Liege wieder wach,Jamule,77843,2knDuFWczh1Wv92eBAdPTa
TRELLAS,Bad Bunny,77815,09WAnxdBuebQopKhJT3oZS
Late At Night,Roddy Ricch,77808,6kksmL4t09IgxhajuVDDxR
Croissantid,nublu,77762,4YykkY2TXRlgY4FO4ddCuV
Ramito De Violetas,Mi Banda El Mexicano,77747,58gbs8nQ1b5okqg9jXON4x
Change Your Mind,ELI,77733,4kOlyvj9WiPrI4zpmzKAeA
Ich liebe es (feat. XATAR & SAMY),Capital Bra,77706,3nOapu3bCsgKa3WKLwjF9n
Di Makatulog,SUD,77696,2ZiNCGDMapQzMtnPRVOKZI
X (feat. Future),"21 Savage, Metro Boomin",77693,6fwdbPMwP1zVStm8FybmkO
"Menunggu Kamu - From ""Jelita Sejuba"" soundtrack",Anji,77692,4uDRSXq3HLxvz4Ec0rvCCk
505,Arctic Monkeys,77666,0BxE4FqsDD1Ot4YuBXwAPp
La Discusión,Sech,77661,5mzp5B1FA5e4fsvnkqyvm1
Oui,"Sivas, NODE, Gilli",77642,7j8K8PE1tO2TvhY15E8ZcD
Pistola Remix,"L-Gante, DT.Bilardo, El Mas Ladron, Damas Gratis",77628,7gO3VLjuqnqr5DjllaE23v
8,Billie Eilish,77615,6X29iaaazwho3ab7GNue5r
WEISSER RAUCH,Fourty,77603,6bRR9tU3WUBsC4aywSgHEO
Graveto - Ao Vivo,Marília Mendonça,77591,3tc8Z4lGzOIwmIVftsxO6o
JAMBO,"Takagi & Ketra, OMI, Giusy Ferreri",77583,4H5arInh2BLVz94mIibTrv
Zack And Codeine,Post Malone,77555,5lZZmityu9TAjNvSY6GLhR
Domen 2019,Soppgirobygget,77522,7cdzfYrqbbMC6auCV0yAQr
Chosen,Måneskin,77481,2lDgdWIGLYuk74pDeRPgPF
I Believe I'm Fine,"Robin Schulz, HUGEL",77470,2i3WO0WkrlnrA1I4GdUmxh
Gib Ihm,Shirin David,77460,5iIgIxtMNeogKaFUfvuAbs
Señor Mentira,Daniela Darcourt,77443,7uebcjB4PNrMzTUdxCefno
Lento,"Boro Boro, Don Joe, MamboLosco",77429,0iRKVjfQzpr41T3WsU7shl
Sober,"G-Eazy, Charlie Puth",77423,3qk4wRMDlaeagZGjSYbsOV
DomDoen,"Henkie T, Jonna Fraser",77419,5vJpSCkDDqLE6bNF4cRqRG
Tiny Dancer,Elton John,77395,2TVxnKdb3tqe1nhQWwwZCO
Vertigini,"Tedua, Chris Nolan",77383,1Oou7m2VuxCDSOdqsu07TU
Dancing On Dangerous (feat. Sofía Reyes),"Imanbek, Sean Paul",77352,6OYZvwKN8GaauTrJS1TuuH
Cama Vacia,Ozuna,77342,6sR4WtcYJOCXzDsDfY9PwV
Fake,"Lauv, Conan Gray",77307,1oz3gEoNWHAS3pjwThdSJb
Montecristo,"Mad Clip, Ypo, DJ Stephan",77278,3vMX98R2kfgzUzb7bnSN6f
Mais je t'aime,"Grand Corps Malade, Camille Lellouche",77257,4dtG1p71E6VPt9BmVYWcY5
שרק תחייך,Yuval Dayan,77252,7vn9SIc4NraLuIMzUeCK2o
Ruang Rindu,Letto,77252,3nbfNH566ap56cwEZPq7SG
Rollin',Brave Girls,77225,6SQUopvuZyrWYjYayxxSXl
Maafkan Aku #terlanjurmencinta,Tiara Andini,77225,5eEiZIdpEABlGLuNmZr7KS
四季予你,程響,77184,4BGkSCrjiLao1bpibNptTD
I'll Wait,"Kygo, Sasha Sloan",77173,6Q3K9gVUZRMZqZKrXovbM2
Na' Personal,"Miky Woodz, Alex Rose",77166,16fZpc0Md2q1SGu8FMTo6x
Hey Brother,Avicii,77155,4lhqb6JvbHId48OUJGwymk
輸情歌,J.Sheon,77148,2Ub5ZGPsej0A6YpvzhntLL
你敢不敢,LaLa Hsu,77136,2bkrZWJ7JRXPOal7pWiyDO
Não Nasceu pra Namorar,"MC Zaquin, MC Rick",77084,6pQKUKBpwr6GhfhcFFFozo
Copacabana,"Leon Machère, Stard Ova, KALUMA",77074,214Mx6MSJhtaO1uPtZGqLH
Seven Nation Army,The White Stripes,77057,3dPQuX8Gs42Y7b454ybpMR
Güzel Kızlar Patron Dinler,Patron,77053,6GQAaynuccObvrHdQSFXRh
Vuosien päästä (feat. Etta),STEREO,77038,2cjnPwInpT6YadR2Gz0s6g
EL TREN,"Micro TDH, Myke Towers",77028,2E5AxSvxrnRsaExLe1aaXI
Rutina,Myke Towers,77021,3YntiCUU0Xqq0B68FM3YAt
Shukumei,Official HIGE DANdism,77009,0XaHPBAzPAC5ubwcRBqc1p
"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",76979,0vLh4JEBLbkLSgJBcaquFm
Culpable Tu,Alta Consigna,76958,2KGzDt4jfP39i8INV4rpdO
Tesla (feat. Sfera Ebbasta & DrefGold),Capo Plaza,76942,093RgZ7RXHZwIrxZhZYX4Q
Forever Yours - Avicii Tribute,"Kygo, Sandro Cavazza",76927,3o1CUVeHIid49sabk6A6Nf
Serenata - Ao Vivo,Marília Mendonça,76923,5fY9bVl1Wj4PIM3wnduWop
Ao Vivo E A Cores,"Matheus & Kauan, Anitta",76923,2Ab1wPTEqulaCGoBak1gUo
Dinner Guest (feat. MoStack),AJ Tracey,76876,0pMt7yNoZTu1gQByxkXaMu
OG,Separ,76874,2ijloBiuZP94dkVULrdf92
Rosa,J Balvin,76862,464uJVLmr0fDJGXOnciaDe
Be Honest (feat. Burna Boy),Jorja Smith,76853,5pAbCxt9e3f81lOmjIXwzd
Berlin lebt,Capital Bra,76809,5FGtzUgxycYideaPBFdkaV
Gashina,SUNMI,76809,0jFHMDRXxKaREor3hBEEST
La La Lost You - Acoustic Version,"NIKI, 88rising",76807,0e2wfbDK7ppotqyUWD7qs8
Muốn Nói Với Em,T Team,76790,5Um995yUx3GSJ6uNOMaaP4
Yeshbahak Galbi,Aseel Hameem,76770,3GbDscVBvaX0BUBahzsNWS
Ruleta Rusa,Kevin Roldan,76761,662buKU5f4M2CK5azWNWkk
Rica (feat. Kesi & Sivas),Gilli,76754,69oJmQ3NnWHQriYQ4L8dKa
Before I Let You Go,Freestyle,76747,220IyLzKO1Y0Gxt4pTU5eZ
Бигасс,"SODA LUV, WHY, BERRY",76738,0Mv6NDFHjGLlQnzv4LTtNo
Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix,MORGENSHTERN,76735,5MAQgObkQo8YHICDRqdYcg
Yan Benimle,Sıla,76723,2LX6XfSqCKBrt2qJngS87z
Tout en Gucci,Ninho,76711,3re2UyhFJBSG1L4cofzyYF
Troféu do Ano,"Jerry Smith, Mc Nando Dk, DJ Cassula",76691,4MdifWtRdG2iHCMSzbA7nA
她沒在看我,E.SO,76686,5QbK5PrR9wbog3M5vVAn2n
Espaçosa Demais - Ao Vivo,Felipe Araújo,76650,4frNT1Vw4MbKbS1ngKodkv
Sentimento Safari,Julinho Ksd,76626,2t98sYRAQZAXqdwi3Sf6pQ
Behind Barz - Bonus,Drake,76600,621hMmYrgWG3caSFtbZg2p
10 Freaky Girls (with 21 Savage),Metro Boomin,76583,0AluA5RNsa4Cx6XRhf2hWZ
獨一無二,"AGA, Gin Lee",76567,24L9JvI4WHMIG5RfjWkkqF
שקיעות אדומות,Eden Hason,76546,74pfNNxGlwSyokwtqxHcDa
Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",76510,1ovCSSWps8DWQwEDgmGiFp
Tightrope,Michelle Williams,76495,0GVuLQtPXFaL18ijEOqoAa
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,76419,3tv697PZNnaQN0Mn2zGhS5
Птичка,HammAli & Navai,76357,6Abmb1Nh7Bc5U6o4iEgSDH
ברגעים שאת הולכת,Osher Cohen,76246,2tQCrZ4fe3eDviBKb6wFhj
10 Minút (feat. Dms),Nerieš,76208,7b8IO38NDvqP9ULAllFbwM
หัวหิน,WANYAi,76201,1kUwlk4SqvLEjOk8yFPtUe
Freedom,"Kygo, Zak Abel",76193,5Gj1wG8b12VQdEd3hUuSwo
Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,76158,2NEzxeMKW0mk5pr7tcrvs2
Yağmurlar,"Anıl Piyancı, Perdenin Ardındakiler",76141,6PxyWkABr9Meid8cSA8AUA
Zebbiana,Skusta Clee,76139,6IdEQ3HUseBeRUYFSzSMdL
Jovial,Freddy Kalas,76132,1xgGtadyPvxCSAqogPLNLY
Ballin,Luciano,76124,4PwQl3zVNOg1NUZzTOux8S
Investe Em Mim,Jonas Esticado,76097,15k1TDabqSEmyXOwMq9RM7
Juice,Lizzo,76087,0k664IuFwVP557Gnx7RhIl
เจ็บไม่จำ,O-Pavee,76074,0goqTWqRaJ8setnHTWXONO
blun7 a swishland,tha Supreme,76044,7HwvPmK74MBRDhCIyMXReP
XXX. FEAT. U2.,Kendrick Lamar,76030,4iYRa2btalAzPZoSYfROqF
Номера,LSP,76029,5M2su06vvCxNYWkYktVmwC
Easy Love,Lauv,76029,37RdUoVflkM32nEOZF1pFy
Água de Coco,ProfJam,75991,2sd4X3PxLzL8kNqXW4xf4x
Asesina,"Brytiago, Darell, Barloe Team",75985,1VI7uGTfxgUp0xNPLcyuvN
All I Need,"Joakim Lundell, Arrhult",75985,0cvA4FbtrV1v6n9Gzm9rmP
Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",75965,3AHOHHF7OXy1x461i5Vn6s
Mimpi (feat. Alif),"K-Clique, ALYPH",75957,13j4wsiG0BjaDb04YZWIXV
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,75937,0GQ5bFTVFFKpwNPc7KwQnB
Gimme The Loot,Big Baby Tape,75924,5NlUfFPL2z3RWAXy8NcRs8
光榮之橋,Yuzu,75892,5KaplUYIDvsFe69z7UArVt
LA DANZA,"Branco, Gilli",75877,5M9phYS7KgM3ZXKTSlgLv0
De Cero,CNCO,75869,6N7I3N37xvT9kPWfXNgDmo
ילדים כאלה,Eden Hason,75832,5xrZpr1va5sIWMb5ndfgQP
White Christmas (with Shania Twain),Michael Bublé,75830,0zLmRVBlZJ3IJTkChSXkBp
Lämmi,Küberünnak & Karmo,75814,03dUoht4jmfAZmpgCvOIkT
Se Não Acordar Amanhã,Piruka,75806,6i8QA10F1m89nO9y9AwKeo
Lebih Dari Egoku,Mawar de Jongh,75801,6sLYPVGD1D4abiqf4qwI8p
Unica - Remix,"Ozuna, Anuel AA, Wisin, Yandel",75797,5Sv1rKKMX1yl9kfJ2HTluk
Kisah Cinta Kita,Hafiz Suip,75777,0IrKOI4EEUtOcbBgJPoGfy
Floyd Mayweather,Żabson,75746,6cclcpedmi9AeLYr92ootQ
だから僕は音楽を辞めた,ヨルシカ,75685,5j7ixaLeGTGSv4DzKs0pCM
เจ็บจนไม่เข้าใจ,PORTRAIT,75635,0IRWj7q7Aa8bCeixcuKfaO
Lost Control,"Alan Walker, Sorana",75633,0lG6QM1jjbbX5UUn3DPmrZ
I Love Me,Demi Lovato,75626,2IHLaN6wwYKQ3S24NsQqpA
No Me Llores,"Duki, Leby",75626,2fBL047Cv32R3UFEup6xkP
"Volta Bebê, Volta Neném","Dj Guuga, DJ Ivis",75614,4wQUopWk9Ed7Ng5qpKN5qd
Walls,Ruben,75601,57cVWZMZVXpacFiPOnAxSH
Wohin willst du,"Gestört aber GeiL, LEA",75568,51WUacrCkukxCgym463uNN
Frag mich nicht,"Miksu / Macloud, Nimo, Jamule",75530,1eiQc3mTqBmqHjUR3uDj5F
No Friends In The Industry,Drake,75518,2tUL6dZf1mywCj5WvCPZw6
Bad Child,Tones And I,75459,1qCmZnC1FUpNgOydIzqIPC
Lippenstift,"Marco Borsato, Snelle, John Ewbank",75425,3D9MKbMaHCZjSEcCWf4wDm
Reminder,The Weeknd,75420,37F0uwRSrdzkBiuj0D5UHI
Í kvöld er gigg,Ingó Veðurguð,75379,0OPovMMeRCDlI8lBH6V6Hs
Melukis Senja,Budi Doremi,75362,0ZEYRVISCaqz5yamWZWzaA
Epäröimättä hetkeekään,"Elastinen, Jenni Vartiainen",75360,4T4gxNvM8EBbfxETZxxbTo
Magenta (prod. Auer),Pezet,75356,07Agqdd4SD83JRgN19OjdW
Off My Face,Justin Bieber,75343,3T03rPwlL8NVk1yIaxeD8U
Devam (feat. Luciano & Ezhel),Gentleman,75283,0kjKKPlUlB4q54k0e7HoF8
5 Songs in einer Nacht,Capital Bra,75266,7pMc3ABRFP5oj6U9FfWmZE
As a Stone,"Full Trunk, Sivan Talmor",75263,4wDsIXtytgiiHPqzuMEHhl
A nie pamiętasz jak?,"SB Maffija, Mata, White 2115, Jan-Rapowanie, Janusz Walczuk, Kacperczyk, Beteo",75257,7DYkRdC2YLLGAQWecpj6rz
Don't Say Goodbye (feat. Tove Lo),"Alok, Ilkay Sencan",75245,0GTPmh5G40joBg93vcSQNq
Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,75241,0jcbsE0jMspszKDlUbBifm
Never Let Me Go,"Alok, Bruno Martini, Zeeba",75236,1Sm14ee7LxZN2H9nafPupr
I Gotta Feeling,Black Eyed Peas,75229,4kLLWz7srcuLKA7Et40PQR
Bra för dig,"estraden, Victor Leksell",75200,3YCAQEpuFtgVVhEDJsW3gQ
À la fête,UZI,75200,0qARyMVNjA6q1uxxO3nofB
Lalala,Snor,75174,4BBoiT6lMxvsWjMDQKm7iW
باظت,Wegz,75078,5GZGxXFZK2y33B1gpBL2Sl
Zij Weet Het - Studio Versie,Tino Martin,75077,0rwf08N6Fm5K57S7e7FJty
EL MUNDO ES MÍO,Bad Bunny,75071,36DHxTW2xdr9GG15T9oK9L
Ahoj Ahoj Čo Ty,Separ,75045,2iAhzdLzdlF0e9ulTq0hRq
Don’t Need Love (with GRACEY),220 KID,75025,7uBaKZZVK0OZ6cqFGpGRXI
Vingança - Ao Vivo,"Luan Santana, MC Kekel",75012,7KdcbYcVF8LkQeQcTYOixJ
MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",75004,0YqTL3nSL36OFdHwHoqCag
Drift Away,Sons Of Zion,74989,2XXWxbULM7crzDMiXgcw4Q
Leika,Floni,74975,5jm6kTf98MHUESNxgdjy0i
Putana,Ninho,74968,5oePa8PlOTPAlRaGs2OZ3A
Pressure (feat. Tove Lo),Martin Garrix,74950,4ga4WvRNhMsIL38pkBbnIN
Esa Boquita,J Alvarez,74935,3tWeAH4IYIrxV2jrUk9Ab3
Phố Không Em,Thái Đinh,74931,5wdUn8P546hfOI3ZjbO0T1
Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,74889,6P7Uodyh8g40Nyc3no6R8E
Haolo,"Killa Fonic, Nane",74862,0eHoaHif9kYQXlHF5J5ti7
Knöcheltief,"Trettmann, Gzuz",74817,15B2XteO75pIkH2iBrowaA
Sex on Fire,Kings of Leon,74798,0ntQJM78wzOLVeCUAW7Y45
Vou Ter Que Superar - Ao Vivo,"Matheus & Kauan, Marília Mendonça",74787,6sRLrSetyIwIKhW1eMlUNP
Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neira,74739,4B3DEANIvod8552CbwftCG
Love Somebody,Lauv,74731,2IzUjVfO3UrAY73UjHHsGi
漸漸,"Eason Chan, eason and the duo band",74694,1o5PE9VNUd8EJtcYLA3QxP
ดูดี,Polycat,74664,7oTnTfFLo4t1xbPb009oBI
魔法の絨毯,Takaya Kawasaki,74653,3PK5ERLCyMuQ5Cb89GbZVL
花束を君に,Hikaru Utada,74628,31yv1hR9gw1WSEmtqsaZbD
inesquecível,"GIULIA BE, Luan Santana",74613,3bUDPTCStUeLcUgXgvepQh
Más Más Más,Rolf Sanchez,74583,2oOMfY14DdzT7cc9exx0Gq
Titig,"MC Einstein, Flow G, Jekkpot, Yuridope",74559,1x8pFCRfBnDqckyB6mlZci
Perdóname,FMK,74526,3qGMeW3gOS3yeJF2nIUy1K
Fica - Bonus Track,"ANAVITÓRIA, Matheus & Kauan",74510,1qDZnViQgUItsMpWLVwfGb
Teka Lang,Emman,74489,3CP6W4N2CnsZgejmUprD6v
føler mig selv 100,andreas odbjerg,74453,7iuM7vnvSjX9qqcuFtij1T
Waiting,KIAN,74448,23Ov2HUf5HK1Q5H3nR7wlz
Roadrunner,Bonez MC,74444,0atjNG0rNW2m6zPaiK4Co7
Wolke 10,MERO,74414,4Ry9AxD63dk4f6GT4nvdPT
תוכו רצוף אהבה,Ishay Ribo,74412,1QP8gp1xtid9iE9L7SzB8e
哀的美敦書,Dear Jane,74408,2mh20y35EhzqMy6su3sJJA
恋人ごっこ,Macaroni Empitsu,74393,2SihT7AVMiI2VtaAyVIcnO
Thick And Thin,LANY,74370,3D110t9ctcoOoylXsc3iR8
UFF,"Veysel, Gzuz",74353,5ZunDzLhnb9EpPAobQ2OB0
Fy Faen,"Hkeem, Temur",74350,7e0TicU5rwK8c7L3CMDBA2
Hold My Girl,George Ezra,74334,42bbDWZ8WmXTH7PkYAlGLu
Sad Forever,Lauv,74326,6YQT5luUxB6JwQdd8e7jbf
Auf & Ab,Montez,74321,2sFsvaMRe8PKo5AFdBE9qC
Habibi Aiwa,Gilli,74292,1UUj1iScVn6wOXiBSyBhLn
Coffre plein,"Koba LaD, Maes, Zed",74228,7rjb8ymTxQJjAZHDny04Bn
Não Tens Visto,Wet Bed Gang,74201,0V33corG3MvX7qYj6cjpd0
Ô Moça,MC Zaquin,74190,1mQOFRDoqI34LdN79PE0vH
Côte Ouest,47ter,74149,2amrInRmNzmt4Etb6Yn1er
Adriana,RAF Camora,74100,1087UErO9Zd3s6zvWu4FL0
Labirin,Tulus,74059,0pDmW5AOpl1Wi58Ob0xXB8
Solteiro Não Trai - Ao Vivo,Gustavo Mioto,74054,7oEr56KG6odStlQH0nvdyr
Mediterranea,Irama,74052,2Up8QSKRV7WnZxZAQasEUq
Liberdade Provisória - Ao Vivo,Henrique & Juliano,74045,7Cf2Hsy3cPlA4e115tElXv
Raske Briller,Nicolay Ramm,74037,5lwU311GwiiWBhcXrdy1R4
En Mi Cuarto,"Jhay Cortez, Skrillex",74036,6Ee34qCOE6FBzEPRAGwSrn
أجمل غرامي,Abdullah Al Farwan,74000,1TqVJdM6pRBNbIvwy62LoA
Pasarla Bien,Marama,73975,0ZzVPCGdkpKcxAzMNDD5UZ
El Gholaf X Ozoris,Marwan Pablo,73959,7n4s9jZxq0JU8sdFinDK2g
Dure Dure,"JENCARLOS, Don Omar",73955,199yJpWCdPhon2nlmLslJI
Godzilla,Moro,73939,2O866dotlltmzcngBvEa31
Better Not (feat. Wafia),Louis The Child,73881,7kGIyYQc44EQcJR3HH314y
Te Voy a Amar,"Andrés Cepeda, Cali Y El Dandee",73861,6G6DiIkasBrTbARK74U7kv
Angeklagt,Bonez MC,73844,5eu4Lxm5TlI0tKSTTDWJAT
BONNIE & CLYDE,"Loredana, Mozzik",73805,3PlVuhOvx0EqYv8wYPKjZV
Roses (feat. ROZES),The Chainsmokers,73743,3FWPoYBDserKdzcattMFGa
هذا السعودي فوق,Fahed Bin Fasla,73743,2CfvtEuDUlkr0UI1js0uv6
Tá Rocheda,Os Barões Da Pisadinha,73721,3dPvQLKl42dMYWV4LWRTLK
La thune,Angèle,73631,3iBOe7U7kRPNIoL3QLCVu2
Collard Greens,"ScHoolboy Q, Kendrick Lamar",73592,0zO8ctW0UiuOefR87OeJOZ
Hvem Er Hun,Arif,73579,2zTXGnJsTwSp1TKcs5g6Xb
Romance Com Safadeza,"Wesley Safadão, Anitta",73578,2kBKjy11Muvntw6wAOHSj0
Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,73572,4E6RdcCWMiHTu7zy1VTNDo
あの夢をなぞって,YOASOBI,73565,4BE1OloRc9xwjyqA4wFFuN
Disco Demolition 2018 (Stabekk Anthem),"J-Dawg, Lille Saus",73561,7qEUQx5Q1b7MBfOKYprPjC
13,LANY,73555,0WOvSEVpUGkNufX0w0M06F
Makna Cinta,Rizky Febian,73545,3yDaw1mQrhDSAOCZTF01KD
Tak Ingin Pisah Lagi,"Marion Jola, Rizky Febian",73529,3TuWleBiR3aQaiwFZg9gg9
Nem Tudja Senki,Follow The Flow,73523,1YO5hgAhxTRErZKKWyrMnu
Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,73494,371Up3WP7OqJNFPf0BiyUe
Barrio Prendido,"The La Planta, Nestor En Bloque, Marka Akme, MOMO, Pushi",73490,2I3qA0KslRCxFTfZnPyDhf
Jogo do Amor,MC Bruninho,73480,3MxbRHE1u74SoMNR9iURIZ
Space for Two,Mr. Probz,73472,07hBBiv9DqLCRECKmB0Q4n
V Meste Snov,Ego,73433,4e9F8DiGo8SOqV3Vo2ecMm
Pasado y Presente,"Ozuna, Anuel AA",73430,6NPjHwhEG7eQUQBoPFBrnz
Como Es,"Akim, SECH",73417,4Yd1O65hvkYAmyliDvcv1Z
ฝืนตัวเองไม่เป็น,Non Tanon,73414,7f1BKoVl0ZJhGMcnvyrHlt
La Jeepeta,"Nio Garcia, Brray, Juanka",73366,1mohfLaTJtB2RplHLQVM70
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,73333,031jyNUkkD02vrkgZDGJxu
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,73312,0ZNrc4kNeQYD9koZ3KvCsy
Dahil Sa'Yo,Inigo Pascual,73292,0g9GzpawtA3QUaxmyYQ5Du
New Patek,Lil Uzi Vert,73281,0Fpen1PTuEnCmOJtUU9Iud
Ne Güzel Güldün,Pinhani,73222,79bKKv3MNqU7jec2IFKw7d
Wir ticken,"Capital Bra, Samra",73213,1ag6DENIjtcmRFCx5JjUng
Power is Power,"SZA, The Weeknd, Travis Scott, Game of Thrones",73202,4cbdPT6uaBOgOQe3fLMofl
loodus ja hobused,"5MIINUST, Hendrik Sal-Saller",73166,0rWtmMYqgd9pqRvqKf5bYw
Slapend Rijk,"Boef, Sevn Alias",73160,3QW4Z0otVIQEPWxP7K4v3M
מה את מרגישה,Idan Amedi,73134,3HBMPTdsZQNO24vbrgcJKZ
Rodinnej Typ,Yzomandias,73129,35nvMkQglkoeydD81a0b77
Crown,Stormzy,73128,4CEGyF5A5u5BjweVvkgCsn
"The Plan - From the Motion Picture ""TENET""",Travis Scott,73109,551xyaSJsg8hILXFq9JdST
A Un Paso De La Luna,"Ana Mena, Rocco Hunt",73108,1vNYb4aLINWNy0plIsLQeX
Mahallemiz Esmer,Ben Fero,73096,3qOxkhNytyb6ifxNzxxULn
Like It's Christmas,Jonas Brothers,73077,1OjmlSFuzYflWjSMTCyTJv
Vencedor,Phoenix Rdc,73072,3d9BJTGYtkSGEdYao481Nh
Terremoto,"Anitta, MC Kevinho",73054,7G2XZhDNHo7SSDWSVxC0UT
Let's Fall in Love for the Night,FINNEAS,73023,4pfhgOylRLcBll5JjUsJZj
Not Steady,Paloma Mami,73021,42ArfZUgGo3k5btIHp08it
Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,73018,0SvD6EdetxVtXei2JhkV4B
Hayaty Msh Tamam,Ramy Sabry,72997,5P1lXXSESjRau7dg9l6egg
Bubblegum Bitch,MARINA,72975,6IbnUaczZBT34DhaD6S18F
"起風了 - 電視劇""加油你是最棒的""主題曲",吳青峰,72949,6yh3aP8HuImur7v8p1P8fz
LOLO,Ezhel,72926,3CTevRDp3TTNwXwwrmgC68
Kom Over,KESI,72918,6Lu7LCf7t7V6X7i4NQywcT
DUMB DUMB,SOMI,72867,6HAbPNraOVHwShFFtRVTik
Tipo Gin - Ao Vivo,MC Kevin o Chris,72859,4llr8mcoauwrHBtjGb7F9S
Baila Conmigo,"Juan Magán, Luciana",72846,6qqG1BHZv1G8A80S7EYeBs
